location,report_date,location_type,country,value,province,county,city,latitude,longitude
Argentina-Buenos_Aires,2016-03-19,province,Argentina,130,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-03-26,province,Argentina,148,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-04-02,province,Argentina,190,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-04-09,province,Argentina,199,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-04-16,province,Argentina,207,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-04-29,province,Argentina,212,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-05-07,province,Argentina,382,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-05-14,province,Argentina,227,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-05-22,province,Argentina,359,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-05-30,province,Argentina,240,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-06-06,province,Argentina,241,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-06-13,province,Argentina,246,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-06-18,province,Argentina,246,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Buenos_Aires,2016-06-26,province,Argentina,252,Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-03-19,province,Argentina,78,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-03-26,province,Argentina,92,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-04-02,province,Argentina,94,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-04-09,province,Argentina,97,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-04-16,province,Argentina,98,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-04-29,province,Argentina,101,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-05-07,province,Argentina,255,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-05-14,province,Argentina,126,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-05-22,province,Argentina,260,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-05-30,province,Argentina,132,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-06-06,province,Argentina,134,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-06-13,province,Argentina,136,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-06-18,province,Argentina,136,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-CABA,2016-06-26,province,Argentina,160,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894
Argentina-Catamarca,2016-03-19,province,Argentina,14,Catamarca,None,None,-27.1910825,-67.105374
Argentina-Catamarca,2016-03-26,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374
Argentina-Catamarca,2016-04-02,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374
Argentina-Catamarca,2016-04-09,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374
Argentina-Catamarca,2016-04-16,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374
Argentina-Catamarca,2016-04-29,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374
