location,report_date,location_type,country,value,province,county,city,latitude,longitude,max_temp,min_temp,dew_point,precipitation,wind
Argentina-Buenos_Aires,2016-03-19,province,Argentina,130,Buenos Aires,None,None,-34.6075682,-58.4370894,69.97,60.83,48.97,0.0002,13.82
Argentina-Buenos_Aires,2016-03-26,province,Argentina,148,Buenos Aires,None,None,-34.6075682,-58.4370894,72.43,63.38,60.02,0.0,12.01
Argentina-Buenos_Aires,2016-04-02,province,Argentina,190,Buenos Aires,None,None,-34.6075682,-58.4370894,76.75,63.36,66.07,0.004,5.81
Argentina-Buenos_Aires,2016-04-09,province,Argentina,199,Buenos Aires,None,None,-34.6075682,-58.4370894,70.23,57.67,59.68,0.0004,10.78
Argentina-Buenos_Aires,2016-04-16,province,Argentina,207,Buenos Aires,None,None,-34.6075682,-58.4370894,78.63,63.3,64.6,0.0,8.57
Argentina-Buenos_Aires,2016-04-29,province,Argentina,212,Buenos Aires,None,None,-34.6075682,-58.4370894,61.08,42.55,42.1,0.0,7.48
Argentina-Buenos_Aires,2016-05-07,province,Argentina,382,Buenos Aires,None,None,-34.6075682,-58.4370894,59.21,52.43,46.89,0.0,9.13
Argentina-Buenos_Aires,2016-05-14,province,Argentina,227,Buenos Aires,None,None,-34.6075682,-58.4370894,57.51,54.19,50.37,0.0,5.69
Argentina-Buenos_Aires,2016-05-22,province,Argentina,359,Buenos Aires,None,None,-34.6075682,-58.4370894,59.36,43.57,45.28,0.0,2.97
Argentina-Buenos_Aires,2016-05-30,province,Argentina,240,Buenos Aires,None,None,-34.6075682,-58.4370894,57.22,50.91,53.15,0.0,8.43
Argentina-Buenos_Aires,2016-06-06,province,Argentina,241,Buenos Aires,None,None,-34.6075682,-58.4370894,57.82,45.27,43.0,0.0,8.27
Argentina-Buenos_Aires,2016-06-13,province,Argentina,246,Buenos Aires,None,None,-34.6075682,-58.4370894,56.68,42.02,41.02,0.0,5.96
Argentina-Buenos_Aires,2016-06-18,province,Argentina,246,Buenos Aires,None,None,-34.6075682,-58.4370894,65.13,44.63,46.09,0.0,3.66
Argentina-Buenos_Aires,2016-06-26,province,Argentina,252,Buenos Aires,None,None,-34.6075682,-58.4370894,51.66,50.53,45.84,0.0,15.4
Argentina-CABA,2016-03-19,province,Argentina,78,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,69.97,60.83,48.97,0.0002,13.82
Argentina-CABA,2016-03-26,province,Argentina,92,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,72.43,63.38,60.02,0.0,12.01
Argentina-CABA,2016-04-02,province,Argentina,94,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,76.75,63.36,66.07,0.004,5.81
Argentina-CABA,2016-04-09,province,Argentina,97,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,70.23,57.67,59.68,0.0004,10.78
Argentina-CABA,2016-04-16,province,Argentina,98,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,78.63,63.3,64.6,0.0,8.57
Argentina-CABA,2016-04-29,province,Argentina,101,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,61.08,42.55,42.1,0.0,7.48
Argentina-CABA,2016-05-07,province,Argentina,255,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,59.21,52.43,46.89,0.0,9.13
Argentina-CABA,2016-05-14,province,Argentina,126,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,57.51,54.19,50.37,0.0,5.69
Argentina-CABA,2016-05-22,province,Argentina,260,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,59.36,43.57,45.28,0.0,2.97
Argentina-CABA,2016-05-30,province,Argentina,132,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,57.22,50.91,53.15,0.0,8.43
Argentina-CABA,2016-06-06,province,Argentina,134,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,57.82,45.27,43.0,0.0,8.27
Argentina-CABA,2016-06-13,province,Argentina,136,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,56.68,42.02,41.02,0.0,5.96
Argentina-CABA,2016-06-18,province,Argentina,136,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,65.13,44.63,46.09,0.0,3.66
Argentina-CABA,2016-06-26,province,Argentina,160,Ciudad de Buenos Aires,None,None,-34.6075682,-58.4370894,51.66,50.53,45.84,0.0,15.4
Argentina-Catamarca,2016-03-19,province,Argentina,14,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-03-26,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-04-02,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-04-09,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-04-16,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-04-29,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-05-07,province,Argentina,16,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-05-14,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-05-22,province,Argentina,16,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-05-30,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-06-06,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-06-13,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-06-18,province,Argentina,15,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Catamarca,2016-06-26,province,Argentina,16,Catamarca,None,None,-27.1910825,-67.105374,,,,,
Argentina-Chaco,2016-03-19,province,Argentina,48,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-03-26,province,Argentina,52,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-04-02,province,Argentina,55,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-04-09,province,Argentina,58,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-04-16,province,Argentina,61,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-04-29,province,Argentina,62,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-05-07,province,Argentina,133,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-05-14,province,Argentina,69,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-05-22,province,Argentina,133,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-05-30,province,Argentina,69,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-06-06,province,Argentina,69,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-06-13,province,Argentina,69,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-06-18,province,Argentina,69,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chaco,2016-06-26,province,Argentina,70,Chaco,None,None,-26.3829647,-60.88160920000001,,,,,
Argentina-Chubut,2016-03-19,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-03-26,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-04-02,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-04-09,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-04-16,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-04-29,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-05-07,province,Argentina,5,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-05-14,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-05-22,province,Argentina,5,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-05-30,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-06-06,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-06-13,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-06-18,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Chubut,2016-06-26,province,Argentina,6,Chubut,None,None,-43.712835600000005,-68.74618170000001,,,,,
Argentina-Cordoba,2016-03-19,province,Argentina,25,Cordoba,None,None,-31.4173391,-64.183319,62.27,52.13,48.94,0.0,3.88
Argentina-Cordoba,2016-03-26,province,Argentina,25,Cordoba,None,None,-31.4173391,-64.183319,75.82,54.03,56.78,0.0,1.8
Argentina-Cordoba,2016-04-02,province,Argentina,26,Cordoba,None,None,-31.4173391,-64.183319,78.0,63.54,65.16,0.0143,3.49
Argentina-Cordoba,2016-04-09,province,Argentina,29,Cordoba,None,None,-31.4173391,-64.183319,64.06,57.09,56.23,0.001,4.35
Argentina-Cordoba,2016-04-16,province,Argentina,33,Cordoba,None,None,-31.4173391,-64.183319,75.86,62.48,63.98,0.0112,4.79
Argentina-Cordoba,2016-04-29,province,Argentina,33,Cordoba,None,None,-31.4173391,-64.183319,64.21,47.53,44.84,0.0,1.65
Argentina-Cordoba,2016-05-07,province,Argentina,360,Cordoba,None,None,-31.4173391,-64.183319,66.94,54.5,51.34,0.0,1.44
Argentina-Cordoba,2016-05-14,province,Argentina,36,Cordoba,None,None,-31.4173391,-64.183319,64.1,52.88,51.49,0.0,1.85
