location,date,zika_confirmed,density_per_km,location_type,country,latitude,longitude,mosquito_dist,max_temp,mean_temp,min_temp,dew_point,precipitation,wind,gdp
Argentina-Buenos_Aires,2016-03-19,1,12625.80078125,province,Argentina,-34.6036844,-58.381559100000004,193.07096029360673,26.0,22.0,19.0,17.0,37.08,17.0,554.1
Argentina-CABA,2016-03-19,1,12625.80078125,province,Argentina,-34.6036844,-58.381559100000004,193.07096029360673,26.0,22.0,19.0,17.0,37.08,17.0,554.1
Argentina-Catamarca,2016-03-19,1,460.1535949707031,province,Argentina,-28.469580999999998,-65.7795441,204.2934529311221,31.0,25.0,20.0,16.0,5.08,23.0,554.1
Argentina-Chaco,2016-03-19,1,121.33164978027344,province,Argentina,-27.425717499999998,-59.02437839999999,215.26711457961255,32.0,26.0,20.0,21.0,13.97,8.0,554.1
Argentina-Chubut,2016-03-19,1,37.09564208984375,province,Argentina,-43.2934246,-65.11148179999999,205.40815336377034,26.0,18.0,10.0,6.0,1.02,15.0,554.1
Argentina-Cordoba,2016-03-19,1,2404.10888671875,province,Argentina,-31.42008329999999,-64.18877610000001,185.31968680587772,26.0,20.0,14.0,15.0,9.14,13.0,554.1
Argentina-Corrientes,2016-03-19,1,837.728515625,province,Argentina,-27.4692131,-58.83063489999999,214.77778304242324,31.0,26.0,20.0,21.0,18.03,10.0,554.1
Argentina-Entre_Rios,2016-03-19,1,72.49529266357422,province,Argentina,-31.774665399999996,-60.49564609999999,184.23803318791425,27.0,22.0,17.0,17.0,32.0,10.0,554.1
Argentina-Formosa,2016-03-19,1,41.44081115722656,province,Argentina,-26.185776800000003,-58.1755669,232.3993893668365,32.0,27.0,21.0,22.0,0.0,12.0,554.1
Argentina-Jujuy,2016-03-19,1,146.10845947265625,province,Argentina,-24.1843397,-65.302177,273.02809616199227,27.0,22.0,17.0,17.0,28.19,8.0,554.1
Argentina-La_Pampa,2016-03-19,1,46.056724548339844,province,Argentina,-36.6147573,-64.2839209,215.54922569580657,28.0,21.0,14.0,12.0,6.1,20.0,554.1
Argentina-La_Rioja,2016-03-19,1,17.69784164428711,province,Argentina,-29.4134538,-66.85645790000001,194.91708622946894,31.0,24.0,17.0,17.0,0.0,6.0,554.1
Argentina-Mendoza,2016-03-19,1,2292.4931640625,province,Argentina,-32.8894587,-68.8458386,184.11345303001133,28.0,22.0,16.0,12.0,0.25,6.0,554.1
Argentina-Misiones,2016-03-19,1,414.0570068359375,province,Argentina,-27.4269255,-55.9467076,215.25342224510052,32.0,27.0,21.0,21.0,0.0,9.0,554.1
Argentina-Neuquen,2016-03-19,1,64.00892639160156,province,Argentina,-38.9516784,-68.05918879999999,205.94175494605304,29.0,20.0,12.0,10.0,0.0,6.0,554.1
Argentina-Rio_Negro,2016-03-19,1,7.440681457519531,province,Argentina,-40.8261434,-63.0266339,204.88388862672704,28.0,20.0,14.0,11.0,5.08,16.0,554.1
Argentina-Salta,2016-03-19,1,347.3858642578125,province,Argentina,-24.782126899999998,-65.42319760000001,259.21498739940733,25.0,20.0,15.0,16.0,13.71,8.0,554.1
Argentina-San_Juan,2016-04-29,1,3898.334716796875,province,Argentina,-31.535107399999998,-68.5385941,184.91369560306947,14.0,10.0,5.0,3.0,5.08,14.0,554.1
Argentina-San_Luis,2016-03-19,1,19.511531829833984,province,Argentina,-33.301726699999996,-66.3377522,185.3264983549857,28.0,21.0,15.0,13.0,70.86,16.0,554.1
Argentina-Santa_Cruz,2016-03-19,1,4.219663619995116,province,Argentina,-51.6352821,-69.24743529999999,271.09648029316077,17.0,12.0,6.0,2.0,5.08,22.0,554.1
Argentina-Santa_Fe,2016-03-19,1,208.09228515625,province,Argentina,-31.6106578,-60.69729399999999,184.6758274654016,28.0,23.0,18.0,18.0,8.13,11.0,554.1
Argentina-Sgo_Del_Estero,2016-03-19,1,138.02670288085938,province,Argentina,-27.783357399999996,-64.264167,211.4683171362696,30.0,24.0,18.0,18.0,6.09,10.0,554.1
Argentina-Tierra_del_Fuego,2016-03-19,0,8.575727462768555,province,Argentina,-54.8053998,-68.3242061,349.97333207568016,12.0,8.0,4.0,2.0,16.51,21.0,554.1
Argentina-Tucuman,2016-03-19,1,6299.4775390625,province,Argentina,-26.8082848,-65.2175903,223.02947564382214,28.0,23.0,18.0,19.0,13.97,10.0,554.1
Brazil-Acre,2016-02-13,1,0.4666447043418884,province,Brazil,-9.0237964,-70.81199529999998,228.97979393730594,32.0,27.0,24.0,24.0,31.0,4.0,1793.1
Brazil-Alagoas,2016-02-13,1,17.653419494628906,province,Brazil,-9.571305800000001,-36.7819505,250.71055393422733,31.0,27.0,22.0,23.0,6.85,9.0,1793.1
